method,degree,noise_level,metric,rank_biserial
silverman,5,moderate,maxerr,0.4785049969016966
silverman,6,high,imse,0.23309025404719574
silverman,6,high,imae,0.26161703032080247
silverman,6,high,maxerr,0.3069987928448982
silverman,6,low,imse,0.5914602806122633
silverman,6,low,imae,0.6431002726553333
silverman,6,low,maxerr,0.6684787371463885
silverman,6,moderate,imse,0.42978295236440606
silverman,6,moderate,imae,0.523694789195149
silverman,6,moderate,maxerr,0.516092768061671
