degree,noise_level,seed,method,imse,imae,maxerr,bandwidth
1,low,1,silverman,0.16278039123290547,0.35463712778791173,0.7447784746955222,0.16150290481144114
1,low,1,cv,0.14235843298327525,0.3104119101040084,0.7357133245787963,1.2612841376636736
1,low,1,loocv,0.14367628451942274,0.3104607403442991,0.7463862827057248,23.96905222001138
1,low,2,silverman,0.15311136365263509,0.30582931102838734,0.43505515238148007,0.12442250469729657
1,low,2,cv,0.11459610014285063,0.27805441516188906,0.6705376404661152,18.465861289216065
1,low,2,loocv,0.11459610009488584,0.27805441511677065,0.6705376402519292,18.465821632626643
1,low,3,silverman,0.06914332712279897,0.23689730427322483,0.40878407249217297,0.13776257097000663
1,low,3,cv,0.04770222934897544,0.2078716463816793,0.26468252467471487,0.5503149662608185
1,low,3,loocv,0.05457688643857443,0.2244657757748963,0.33656530919171246,20.445697413364442
1,low,4,silverman,0.144785097597505,0.3313994543128654,0.6096132673571386,0.17900087934829492
1,low,4,cv,0.2955516553527083,0.46207015662577405,0.8449115249825052,0.08161311062066086
1,low,4,loocv,0.30704670427375597,0.4740969611058942,0.8637607568612395,0.07523591114764969
1,low,5,silverman,0.2248561490613303,0.37954697298907675,0.9149846613568116,0.14635225507818825
1,low,5,cv,0.07630347943134383,0.2547983224383283,0.38398012878759147,1.013066637640742
1,low,5,loocv,0.07374618364190055,0.24767310552108893,0.3830606209134828,0.40047382221950945
1,low,6,silverman,0.04296471158648464,0.15365958345241099,0.2517375012703127,0.14414486319130132
1,low,6,cv,0.022566743267488386,0.12873627889028808,0.28971130372204534,21.39285112102979
1,low,6,loocv,0.022566743268675957,0.1287362788955239,0.28971130370744813,21.392864102446172
1,low,7,silverman,0.09119009312509774,0.24813696892355236,0.14423217465046534,0.15470990078248106
1,low,7,cv,0.07442139619274353,0.23572542909796176,0.5009778939124718,22.960897531511097
1,low,7,loocv,0.07442139619245162,0.23572542909717073,0.5009778939208314,22.960883229735835
1,low,8,silverman,0.12301116836723451,0.24395615070280732,0.41125137467778217,0.15845595426799067
1,low,8,cv,0.3123354185234264,0.4368734380195198,1.0155172611012837,0.07472885631338207
1,low,8,loocv,0.1461571434226397,0.2634847843745121,0.4652652319434516,0.1450371658618134
1,low,9,silverman,0.03674757563128194,0.1397405444942936,0.13467887572797377,0.1631855145665822
1,low,9,cv,0.016002365540973302,0.08454023604436399,0.36502499251593035,0.36802977225513234
1,low,9,loocv,0.013301692092553665,0.07694115783440761,0.3260184032039706,0.41755802529234537
1,low,10,silverman,0.14246888241340774,0.2898530199497006,0.6507827905080958,0.1397822372586644
1,low,10,cv,0.1464652622303439,0.3182746213556189,0.7653005632115466,20.745388785303803
1,low,10,loocv,0.14646526222799217,0.3182746213543371,0.7653005631975276,20.745396046850612
1,low,11,silverman,0.14493019133373108,0.30041471582300167,0.9396898588202571,0.16238048195150212
1,low,11,cv,0.1402066257205767,0.294572962804855,0.9050396127988907,0.1680857933541535
1,low,11,loocv,0.11684539358267762,0.28809715767685806,0.6903266259587482,0.22716926679445384
1,low,12,silverman,0.09919388536750717,0.27559730306031716,0.42911088993690427,0.16986766348162527
1,low,12,cv,1.089270318616527,0.628441819413735,1.177244244559084,0.0320624008014454
1,low,12,loocv,1.0246822421884139,0.6162769003106052,1.090397939770046,0.03415559899018823
1,low,13,silverman,0.08014415765129362,0.2529264767876348,0.379524052302199,0.17472272715090262
1,low,13,cv,0.05679665548728463,0.1994438991221656,0.47629281022438796,25.931018674382468
1,low,13,loocv,0.05679665548890619,0.19944389911768226,0.47629281027902337,25.93103995572352
1,low,14,silverman,0.046379287621913234,0.16947830403427738,0.4957779414528549,0.1468006520635977
1,low,14,cv,0.0322169168168839,0.14761832615205706,0.3832643720710174,0.6500916093679383
1,low,14,loocv,0.029232697470583702,0.14442344300952079,0.339577880831369,21.787014275396224
1,low,15,silverman,0.3072141582990858,0.5132938004235117,0.7084505534342256,0.15927409817602128
1,low,15,cv,0.24431311981017592,0.45018052711335826,0.6591542789890426,0.3080034965761595
1,low,15,loocv,0.23836644106082344,0.4355565310606246,0.687304964353828,0.38534878836704667
1,low,16,silverman,0.06632005983296363,0.22154391486454428,0.5031354644504091,0.14330885457386355
1,low,16,cv,0.055679088241077375,0.20417170426913475,0.4247486964551648,21.268836399772447
1,low,16,loocv,0.055679088241020115,0.2041717042690505,0.4247486964537721,21.268834132040496
1,low,17,silverman,0.2040707426903154,0.4076634187193035,0.5125278313876755,0.14636881099810387
1,low,17,cv,0.5388512352253072,0.6189420921006408,0.900447782543699,0.0453860625466541
1,low,17,loocv,0.5471279134868543,0.6233255265685679,0.9245483826753329,0.04351689146352002
1,low,18,silverman,0.30584436213349114,0.471323866326323,0.9819617895735995,0.15614143789769647
1,low,18,cv,0.5375066579002208,0.5487009253555583,2.08281770866272,0.05073348880839507
1,low,18,loocv,0.7577211068264716,0.6412956884907154,2.624000983816371,0.04145991822203266
1,low,19,silverman,0.14373477239779398,0.2719972610340981,1.0494055648520053,0.13920758081974718
