Method,RMSE,MAE,MaxErr
Silverman,0.33856217722736603,0.2680403496327698,0.9132408370099998
Kernel_5Fold_CV,0.3317635093206027,0.26039706947505414,0.9548135394250116
Kernel_LOOCV,0.3310688363470716,0.2600990077882856,0.9551943582162288
Entropy,0.3464940908489644,0.26877495008758345,0.995731306447665
