Method,RMSE,SEM_RMSE,MAE,SEM_MAE,MaxErr,SEM_MaxErr
Silverman,0.3857141413864921,0.00819338736861831,0.30537065351546355,0.005667306180064306,1.040428993607974,0.03684791005425161
Kernel_5Fold_CV,0.37796861652026525,0.009002167965186878,0.29666288586296863,0.00597047217059618,1.087791571008622,0.05219893714154254
Kernel_LOOCV,0.3771771898069183,0.009168489072804546,0.29632331017404373,0.006054951902854087,1.0882254636605526,0.05048614982727012
Entropy,0.39179686637076394,0.011156557856134813,0.3043962936973353,0.008418227796323473,1.079564441757378,0.04053905020809322
