true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
6,low,1501,4,0.5,0.5,"[19.268444063739672, 0.11691332067200738, 23.91516862197693, -134.73899868760827, 110.48770086085787]"
6,low,1502,1,0.2,0.8,"[-13.228805080636999, -17.89616346679954]"
6,low,1503,4,1.0,0.0,"[-15.490190716385044, -18.536803278237198, 45.05356610314585, -151.88614502434285, 135.42453289257637]"
6,low,1504,3,0.6666666666666666,0.3333333333333333,"[-7.03439150812558, -4.937305409076624, 97.93715329441002, -99.53137260726093]"
6,low,1505,2,0.3333333333333333,0.6666666666666666,"[-10.763936642319049, -7.756265504345372, 25.897889709438363]"
6,low,1506,4,0.6666666666666666,0.3333333333333333,"[4.236272932372532, -48.26918216762226, 194.16385176866143, -274.03228013816135, 139.38192976060154]"
6,low,1507,3,0.8,0.2,"[5.345712811776966, 19.398225689664482, -64.19419788972766, 70.99468971391221]"
6,low,1508,4,0.5,0.5,"[-8.351122677025419, 69.17478222847735, -247.88348431418217, 365.4203989848436, -207.72404756760386]"
6,low,1509,3,0.8,0.2,"[6.130445564299261, -20.889457769500826, 57.04042606776236, -58.07208668157862]"
6,low,1510,3,0.5714285714285714,0.42857142857142855,"[-3.02993617633714, -5.272206710737746, 23.315564629149147, -30.915082894042992]"
6,low,1511,3,0.42857142857142855,0.5714285714285714,"[4.8996617292010125, -8.956897336933194, 21.02406398505683, -27.127849454950756]"
6,low,1512,3,0.6666666666666666,0.3333333333333333,"[-22.481092242740544, -27.70169031980055, -20.69236918839165, 45.57479787381797]"
6,low,1513,3,0.8,0.2,"[-3.5248899403107883, -12.59243135169692, 22.892301444677603, -25.773453794657055]"
6,low,1514,4,0.5,0.5,"[-22.43611186215522, 34.70457788559611, -61.39256650145195, 88.64384677469874, -57.28702753462349]"
6,low,1515,3,0.5,0.5,"[8.046602785701213, -14.535616802102957, 105.18958330746688, -120.05335370696196]"
6,low,1516,4,0.3333333333333333,0.6666666666666666,"[6.852904932832883, -23.888627016501523, 133.70646126673012, -251.2019519931964, 168.95704762637143]"
6,low,1517,4,0.3333333333333333,0.6666666666666666,"[12.151459892250507, -31.24362588189457, 101.99093729062896, -186.41284015522393, 136.04365984753184]"
6,low,1518,2,0.42857142857142855,0.5714285714285714,"[-2.357092306507339, -1.1141212996710754, 13.803355987667887]"
6,low,1519,4,0.42857142857142855,0.5714285714285714,"[-54.2489572584933, 48.173701793489094, -183.7058615527459, 416.4676341613642, -320.3714062289993]"
6,low,1520,5,0.42857142857142855,0.5714285714285714,"[-10.560915043532528, 18.145332918919497, -174.39500207120452, 400.84345850245376, -450.5820266014251, 217.28079554609073]"
