degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_used,n_total,n_removed
1,high,cv,0.08944745206333506,0.004795707489179429,0.22894387479806622,0.0067985842672013885,0.43723847211925404,0.016036105171566586,13.352933925839414,11.04067063227331,268,300,32
1,high,loocv,0.09304121821069859,0.005160018721192848,0.23160050408461735,0.006978797507891334,0.4377448509705915,0.016093390115712192,14.899852100372964,10.605486530824386,268,300,32
1,high,silverman,0.11288750079958992,0.004774035164925541,0.2561692214507541,0.0058372201438576824,0.40660744839983365,0.012497361639733915,0.1521896618779773,0.012796357167093554,262,300,38
1,low,cv,0.08028135692296905,0.004308864443463738,0.2204294256610034,0.006441991763912204,0.4230423171632695,0.014308274845547222,13.48817617274114,10.866163729096126,264,300,36
1,low,loocv,0.0819856821914075,0.004264093518493075,0.22241062965645678,0.00649292044150312,0.4280579937678663,0.014148291248752656,15.521376472532774,10.337892005959807,268,300,32
1,low,silverman,0.10854379934332986,0.004282147686844241,0.2531683862181082,0.00545224123888671,0.44294159397607924,0.01583293974827029,0.15246774156986256,0.013370199753971882,273,300,27
1,moderate,cv,0.07309624781493002,0.004100466714317229,0.20840938234736486,0.0065228249236496645,0.39170676788141373,0.013152378351426146,14.523415223043212,10.672077143338896,267,300,33
1,moderate,loocv,0.0761491550040639,0.004242977303882952,0.21258937779549844,0.006560928664115971,0.4043265456480129,0.013302692690658117,15.984271621660598,10.200555667294614,263,300,37
1,moderate,silverman,0.10116154105752469,0.004348748139763151,0.24441310908439395,0.0058844394481240925,0.414277081836293,0.014011205099691473,0.15292304623290137,0.013477731772450704,265,300,35
2,high,cv,0.1790386563872978,0.008472316392672204,0.3218151961620123,0.00840090417196729,0.5383051435800459,0.018737304663060745,4.0187191257459185,8.490027042323359,277,300,23
2,high,loocv,0.17224577779041417,0.008284907182084331,0.3146866631084345,0.008178860196968932,0.5409512642367266,0.019138196452585354,4.15252204754584,8.566391859501213,270,300,30
2,high,silverman,0.16000769103670437,0.007400749446558609,0.3097091614079994,0.008050207854227817,0.5136784066646214,0.017569764456315046,0.15142628790155388,0.012656242171288447,271,300,29
2,low,cv,0.2193069602299619,0.008728899765960032,0.35970459003783195,0.007678871593044012,0.6074988745550562,0.017343516951417833,1.4823637065383106,5.365466024218698,270,300,30
2,low,loocv,0.21385682853208288,0.008364600495113084,0.35394322845436726,0.007413007492906153,0.6086199035822609,0.017489997469374182,1.0865720864894957,4.559612491530189,272,300,28
2,low,silverman,0.2675717723950865,0.014623137243777009,0.3984153327465823,0.01213597211909694,0.6406451128127023,0.021460715827997055,0.1503960629023268,0.012872015523909642,265,300,35
2,moderate,cv,0.18174055453918736,0.007002180404832197,0.33055993454792865,0.006812816034986782,0.5693778855835468,0.01767275114483952,2.3749595708923956,6.70338366222141,274,300,26
