degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_used,n_total,n_removed
1,high,cv,0.1615693319615347,0.01653403594210285,0.2700142273759276,0.009751770012556452,0.5362304927924654,0.025744808584864918,12.26671538271704,11.145199384153837,300,300,0
1,high,loocv,0.15046939660280784,0.014040430130682704,0.2674062459102323,0.009211932201718403,0.5164453153170031,0.021757015274459786,13.654192921352909,10.913288915300116,300,300,0
1,high,silverman,0.17755067999467278,0.019053351882601585,0.2820032405480276,0.007974773319392609,0.5335308321242413,0.036104105515024576,0.1513452204927144,0.01333359179761647,300,300,0
1,low,cv,0.15741983449684657,0.017908533331954756,0.2657064562871076,0.009643906299884984,0.509570543506484,0.022287303078899784,12.412129932712903,11.031102782628285,300,300,0
1,low,loocv,0.14591266493610672,0.016033172531505577,0.26189743832638784,0.00922088597871371,0.5175087143803099,0.02297567910392144,14.467732182629394,10.701613204418752,300,300,0
1,low,silverman,0.1603489502628578,0.015666229229777333,0.2786449636985598,0.0073386988425425915,0.5382893996642635,0.035334758415972924,0.1520002323422701,0.013686903830786207,300,300,0
1,moderate,cv,0.16734147726988965,0.03464255449283688,0.25572507562966934,0.011944616548927756,0.5205091882127719,0.03200953465788457,13.720972091705583,10.8444761244972,300,300,0
1,moderate,loocv,0.17932850273278825,0.03550343434332816,0.2649788815352862,0.012167226744263768,0.5393019159775865,0.03140786746095855,14.882876642843549,10.595290379303728,300,300,0
1,moderate,silverman,0.17600696065356516,0.029488863214687525,0.2770477659636866,0.009502823927953341,0.5318153703040325,0.03159053674326127,0.15216213228986125,0.014030298269637535,300,300,0
2,high,cv,0.2801839929385393,0.03484493388117374,0.35709960743751606,0.01165380479751284,0.6175707290282176,0.02802925082996781,3.935972577656203,8.413591535837813,300,300,0
2,high,loocv,0.41105167463306236,0.11054438696560757,0.3657802958540651,0.013773748433534648,0.7266271429721197,0.05673618384424576,3.8953996485917766,8.354538422906904,300,300,0
2,high,silverman,0.25012989703172905,0.026189267231586162,0.35560310977845366,0.012412411029494209,0.6170492934471211,0.02998263949375713,0.15141917930606208,0.013023806782561657,300,300,0
2,low,cv,1.2179809489139668,0.745743408784664,0.41636111325305436,0.01832550629253231,1.0986110404856557,0.3806647386334986,1.3404090291428399,5.1070661819453695,300,300,0
2,low,loocv,0.319609142901464,0.0319510528370512,0.3886310578275827,0.009984527073129346,0.6949694452408725,0.028361516601444165,0.9916638839298836,4.3510030432275535,300,300,0
2,low,silverman,0.4213023734961102,0.029347163918114264,0.47774741719234254,0.017031447430342236,0.7876174834443371,0.031451330376203776,0.15132664078984112,0.013410247684021156,300,300,0
2,moderate,cv,0.36673975534054865,0.07705591095136485,0.3732058596018306,0.012180147559461297,0.6822744581052687,0.031128427708723684,2.2505418644941284,6.498435787580128,300,300,0
2,moderate,loocv,0.3795888158894932,0.08185466378111743,0.36845426602115233,0.012119831233674752,0.6563781018983792,0.02606369801972417,2.4002958495671347,6.648758561141411,300,300,0
