generation_type,method,imse_integral_mean,imse_discrete_mean,imae_integral_mean,imae_discrete_mean,maxerr_integral_mean,maxerr_discrete_mean,n_valid_integral,n_valid_discrete
deterministic,silverman,149.18844209018147,149.32483811208868,1.7723689937343161,1.7693669382390902,4.005486709829608,9.374282722845795,300,300
deterministic,cv,314.75044138701577,314.75027681141626,2.7585311105549595,2.7608837591778523,15.525804941224544,20.2888345846988,295,295
deterministic,loocv,99.9048587989234,99.92185440731272,2.2338854703417175,2.234078085301607,10.024427618883031,14.873061447792503,294,294
stochastic,silverman,9.46739816641842,9.470999206380599,1.5299212472983326,1.5300915332964575,3.3219441954984474,5.6608811642246355,300,300
stochastic,cv,350.7204292118777,350.6934895115108,2.41484495347817,2.414922805513709,10.12566882551362,18.070697668266828,292,292
stochastic,loocv,361.4649942891906,361.4424352346187,2.5023100294878886,2.5024522825537026,10.041873863236827,16.43181262631321,295,295
