degree,noise_level,method,imse_mean,imse_std,imae_mean,imae_std,maxerr_mean,maxerr_std
1,low,silverman,0.1623410722850877,0.1277347044670787,0.30347214231706343,0.1259296347679346,0.8400745063570667,0.35804734646265796
1,low,cv,1.4343663773131732,7.041537177672901,0.34231992024031455,0.3854020992809781,2.1588105580117225,7.909680286028657
1,moderate,silverman,0.15602049241524713,0.16189113856499507,0.2918147659549523,0.1389365006451461,0.787529460724802,0.50857851132603
1,moderate,cv,0.13356850077466476,0.15276785978815985,0.2620251879452065,0.13649169853347287,0.6983331462947843,0.6382697620898377
1,high,silverman,0.12966939966899635,0.1008926330338632,0.26380981906653045,0.10164962484982358,0.8724156792776262,0.46379398788150156
1,high,cv,0.18128147200083147,0.414354989213178,0.26323455474458796,0.1548999285639767,0.8502860501905253,1.4993427537848028
2,low,silverman,0.39234204080776774,0.38892302949036667,0.4837493239652774,0.25833420259687756,1.142884437718421,0.5544781327588811
2,low,cv,0.23591940207929163,0.1589778178850723,0.37252185792738585,0.12461976310658597,1.0789837409937413,0.6143928908617013
2,moderate,silverman,0.285773928497166,0.38539938851979677,0.3597241964074331,0.2424603051728889,1.0774591073519906,0.6925198830777668
2,moderate,cv,0.3440825918154032,0.879115582084517,0.3421520724862935,0.2868819192760405,1.3170894477001212,1.2783725789509435
2,high,silverman,0.2291530764230943,0.19623885616612652,0.36590564648526197,0.17163452180321537,0.8900570090441035,0.4390170413256603
2,high,cv,0.2837955141208598,0.3895040985608512,0.3753479512915772,0.1578675387568747,1.1843772688058265,1.0621212853073856
3,low,silverman,0.354257599205623,0.4557070198771316,0.4447546320662942,0.25571656078666594,1.1897293501334525,0.784452134873744
3,low,cv,0.3268094215557173,0.4127911006432724,0.41124298769374673,0.19547773224696807,1.271358772446384,0.9800413165233419
3,moderate,silverman,0.30034186077481095,0.3124081774941736,0.41723083063781974,0.20947947634212233,1.1049019260928923,0.5385722100568524
3,moderate,cv,0.2791434923904921,0.2448307363154825,0.40132417898552314,0.178869410945833,1.2541124060432922,0.6948464694846435
3,high,silverman,0.23211227083142735,0.32451478067734035,0.35061717784617435,0.17897696354187806,1.0120934647984963,0.7534135156027723
3,high,cv,0.18135881030363796,0.09257245862697801,0.33005079353764094,0.1100042871518115,0.9603325270645056,0.4055210375272364
4,low,silverman,0.7033435556674081,1.0688508024282968,0.5342880084295335,0.39679246120271333,1.5458395721930513,1.4463198072126615
4,low,cv,0.6393036084017151,1.49046972956626,0.43979050590042795,0.2760629384070022,1.8532195232928883,3.481545558581938
4,moderate,silverman,0.6672990666134816,1.002917651611943,0.5033672620227022,0.328150806361948,1.9465062855512636,2.047424303118939
4,moderate,cv,1.0368321545079533,3.836143008390431,0.4308689886544184,0.2580118759703201,2.432844758051038,5.063903647068752
4,high,silverman,0.2248396540610447,0.20329254828628232,0.3764769260124787,0.1555826353713165,0.9312272948197907,0.3968116837969183
4,high,cv,0.23154707814907075,0.21009619350076295,0.36387077557017466,0.15859454590366417,1.0102981264297406,0.5188496839164969
5,low,silverman,0.8902959794905942,1.4688972082855576,0.6618042951470794,0.3964444157147993,1.707115591534034,1.2812996250813633
5,low,cv,0.3482024427486902,0.21982711241406847,0.4452581830228712,0.14053870696207946,1.557125674035426,1.0471989033214548
5,moderate,silverman,0.37405570094778884,0.4172250871773483,0.41080667514438607,0.2197323545156158,1.6761503043521426,1.3511858904657688
5,moderate,cv,0.3130722881226815,0.29072151198284746,0.36839745641359845,0.16949944140680936,1.625728336951813,1.2229299389975596
5,high,silverman,0.330255920860801,0.896070275040376,0.34095448634244624,0.181104900298857,1.279006543069418,1.7367687208381233
5,high,cv,0.31258703041969393,0.8032614026525834,0.3330059994691766,0.15897022297607624,1.2917866901754664,1.773930234911844
6,low,silverman,0.8027270184035175,1.5240632962626701,0.5712050929151513,0.3000963683387171,2.148939604328577,2.193452141400279
6,low,cv,0.6863211949117726,1.424771997812002,0.4893781724846613,0.22107620673767123,2.274759421410488,2.3022640322643944
6,moderate,silverman,0.5022879677224741,0.5971599312500978,0.4868869643101849,0.2633773599498766,1.8101723375416214,1.43972069764199
6,moderate,cv,0.33083261004170045,0.3739874321551892,0.40092082297753345,0.19068836074796078,1.558571417196732,1.2515748679952505
6,high,silverman,0.28360663472332803,0.3149464822419165,0.36748591355376325,0.18595591441281997,1.2783752527831056,0.9125805676899399
6,high,cv,0.2846283193739823,0.24453301324353133,0.3647316221375819,0.13485551261727688,1.433885698791812,0.9697859778366174
