generation_type,method,n_total,n_valid_integral,n_valid_discrete,imse_integral_mean,imse_integral_sem,imae_integral_mean,imae_integral_sem,maxerr_integral_mean,maxerr_integral_sem,imse_discrete_mean,imse_discrete_sem,imae_discrete_mean,imae_discrete_sem,maxerr_discrete_mean,maxerr_discrete_sem,bandwidth_mean,bandwidth_std
deterministic,silverman,300,300,300,149.18844209018147,133.06983671821308,1.7723689937343161,0.2539915898942732,4.005486709829608,0.7278086101509772,149.32483811208868,133.19639040444767,1.7693669382390902,0.25452219299859274,9.374282722845795,3.129223793963945,0.922540064379103,0.1948734303407781
deterministic,cv,300,295,295,314.75044138701577,170.05519099282637,2.7585311105549595,0.3768303284827697,15.525804941224544,4.147449849432592,314.75027681141626,170.03936718665506,2.7608837591778523,0.3774529016957677,20.2888345846988,4.334991347924413,2.3202145559937244,2.7207633073182516
deterministic,loocv,300,294,294,99.9048587989234,39.78949427461358,2.2338854703417175,0.21058882798314607,10.024427618883031,2.5267452397973775,99.92185440731272,39.79097372353145,2.234078085301607,0.21060381800572703,14.873061447792503,2.8553693681543004,2.423947308163331,2.828114815735167
stochastic,silverman,300,300,300,9.46739816641842,2.20272748821808,1.5299212472983326,0.06835695168006256,3.3219441954984474,0.30792169090795696,9.470999206380599,2.2037410655863607,1.5300915332964575,0.06837114756021413,5.6608811642246355,0.4441259668174381,0.9294683018354473,0.21737576976716874
stochastic,cv,300,292,292,350.7204292118777,320.24971275830273,2.41484495347817,0.518019392463676,10.12566882551362,3.3892233481009897,350.6934895115108,320.2177059319894,2.414922805513709,0.5179715426140142,18.070697668266828,4.668788693033652,2.383040985327867,2.754857343639933
stochastic,loocv,300,295,295,361.4649942891906,319.4173784561324,2.5023100294878886,0.5179948013238933,10.041873863236827,3.4028353856596896,361.4424352346187,319.38555857010385,2.5024522825537026,0.5179511334629897,16.43181262631321,3.797726528931806,2.46822379913672,2.8276880438023575
