generation_type,method,n_total,n_valid,n_outliers_removed,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std
deterministic,silverman,300,300,0,149.18844209018147,133.06983671821308,1.7723689937343161,0.2539915898942732,4.005486709829608,0.7278086101509772,0.922540064379103,0.1948734303407781
deterministic,cv,300,300,0,10.534615927019077,5.952340382845168,1.246150004675741,0.09615839620508687,3.1438855743513905,0.44539909549815904,61.36664813784224,68.2780643791935
deterministic,loocv,300,300,0,8.71562089663138,4.84894982328074,1.2024519510950211,0.0864125284453921,2.705871823409939,0.3797553249694116,65.9541479907515,67.88715980273714
stochastic,silverman,300,300,0,9.46739816641842,2.20272748821808,1.5299212472983326,0.06835695168006256,3.3219441954984474,0.30792169090795696,0.9294683018354473,0.21737576976716874
stochastic,cv,300,300,0,3.8935267576759345,0.9594461590637537,1.178079957106182,0.0419253765411943,2.693146881998843,0.30110622166591966,59.31209474376284,69.55901341776088
stochastic,loocv,300,300,0,4.523732391862349,1.3405071125410624,1.1767392673332817,0.043609311677443474,2.577155984900234,0.2920737871004366,61.281173287790324,69.56293342041069
