generation_type,method,n_total,n_valid,n_outliers_removed,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem
deterministic,entropy,600,300,0,3.717976361163372,1.5885151629977987,1.1226093797445842,0.04658023744447506,2.4150397872123057,0.2532108438300222
stochastic,entropy,600,300,0,3.1531088490256978,0.7944660112933702,1.150688531971355,0.039683648481845205,2.4653947228017996,0.20401694978730722
