generation_type;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem;n_valid2
deterministic;0,055;0,002;0,156;0,003;0,411;0,014;252
stochastic;0,057;0,002;0,158;0,004;0,391;0,013;244
