generation_type;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem
deterministic;0,790;0,202;0,248;0,018;1,329;0,192
stochastic;1,124;0,252;0,276;0,022;1,603;0,232
