generation_type,dataset_id,method,imse_integral,imae_integral,maxerr_integral,bandwidth
deterministic,0,silverman,0.8907575164615635,0.8688066253627601,1.0412563819275258,1.3166974571897032
deterministic,0,cv,0.6298254376675133,0.6213872936106971,1.6674779153388557,4.775775624958608
deterministic,0,loocv,0.6134884167804241,0.624211711123102,1.564923255602931,4.292897005614075
deterministic,1,silverman,1.2935818078216754,1.0549878489320335,1.6765685469784437,0.939704764611827
deterministic,1,cv,1.3360092704585658,1.1462489481060032,1.3404322396654964,7.047142336817682
deterministic,1,loocv,1.328344523439299,1.1428063409539249,1.3338223867587296,6.9260668931668325
deterministic,2,silverman,1.1881557907293272,0.9013162361736948,1.325657666006304,0.9724744039595115
deterministic,2,cv,0.9343886657662595,0.92079319441299,1.356715884132175,144.32731716451664
deterministic,2,loocv,0.9343886618554216,0.9207931928997413,1.3567158804130504,144.32704918166525
deterministic,3,silverman,2.4914887743458154,1.4137394076210357,2.269948046634462,0.8359600151530687
deterministic,3,cv,2.624415081686346,1.3584735684542688,3.427135899520016,2.3112828564154038
deterministic,3,loocv,2.592600221601392,1.346935578766382,3.483045633681884,2.6118161531253663
deterministic,4,silverman,0.8273909705469948,0.8676306277442776,1.185229783711863,1.0838925335679903
deterministic,4,cv,0.8329534041177066,0.870864932504668,1.1895569818412761,1.0662347268297236
deterministic,4,loocv,0.8316923634622235,0.8701332717615439,1.188581218389853,1.0701726234157125
deterministic,5,silverman,0.5536635090848467,0.6311940896005985,0.8478550134661096,1.173828436750789
deterministic,5,cv,0.7934550542741816,0.8195740323146152,1.3437264598472547,5.1014962025237685
deterministic,5,loocv,0.8225144722649935,0.8330642167681621,1.3681156503442014,5.752706136810961
deterministic,6,silverman,2.0393813255814908,1.190172652529405,3.1724603906515743,0.7403784052836556
deterministic,6,cv,1.3846611782531832,0.9844700911417359,1.7335740726131506,2.2681641540917914
deterministic,6,loocv,1.6218229837542175,1.080901907167586,1.7091870253932657,1.4156659268245948
