generation_type;method;n_total;n_valid;n_outliers_removed;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem
deterministic;entropy;600;273;27;1,339;0,051;0,976;0,019;1,847;0,041
stochastic;entropy;600;275;25;1,477;0,056;1,016;0,021;1,917;0,040
