generation_type,method,n_total,n_valid,n_outliers_removed,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem
deterministic,entropy,600,273,27,1.338999765323792,0.05114517015115206,0.9760352408214227,0.019488848369052004,1.8468637860994268,0.04075720829171585
stochastic,entropy,600,275,25,1.4771649700400982,0.05602829811743377,1.0155400609823553,0.021065253723275418,1.9171133691756872,0.0402996404063187
